4177347,Dag Bandeira
2564920,Aline (11)
4570285,CDPOINT
912331,Marino Pinto
4570286,Raphael Nikson
4570289,Luiger Lima
776447,Juquinha
286945,Roberto Carlos
4570283,Dennise Pontes
73394,Hal
869519,João Kibelkstis
869518,João Moreira
732879,Aizik Geller
732878,Joab
1902599,Lúcio Maia
4246864,Jaime Aklander
856641,G.R.E.S. Imperatriz Leopoldinense
856640,G.R.E.S. Império Serrano
732873,Vidal (4)
732871,Radamés Gnattali
732870,Hélio Capucci
732877,Altamiro Carrilho
732876,Sérgio Cabral
336606,Ivo Meirelles
732874,Nestor Vitiritti
69421,Arnaldo Antunes
2889547,Wilson Teodoro
3300768,Angela Herz
3632996,Tunico Ferreira
2724690,Emicida
521222,Enrico Simonetti
3282638,Sabatell
3764519,Diego Dedáblio
393406,Os Novos Baianos
1685215,Mario Bruno
3931896,José Luiz Pederneiras
1349313,Roberto Ramos
1349314,Ney Velloso
1349316,Getúlio Bezerra
452896,Cuca Teixeira
2154889,Ivã Oliveira
1345894,Zé Roberto
1345891,Eliseu
1345890,Luiz Claudio
2154882,Paulinho Caldas
2877218,Vanessa Stepanenko
2877219,João Castrioto
2154887,Marcos Trindade
2154886,Rogério Oliveira
1345899,Mano Décio Da Viola
1345898,Carlos Guarany
707160,Fernando Faro
707163,Maria Helena
2584586,Arthur Fróes
3282631,Laura de Santi
336608,Daniel Jobim
2425851,Don Salvador
2425850,Sebastiao Marinho
3045253,Artes Eletrônicas
1949985,Zé Carlos (5)
267767,Keith Harvey
4246863,José Roberto Aboim
2928653,Ivan Machado
1975319,Poly (7)
1894373,Wilson Meirelles
4246862,Conjunto /4
1894375,Jorge Barreto
465370,Guto Graça Mello
1428681,Toninho Geraes
4104489,Carlos Andrade (5)
3573624,Júlio Cézar
697995,Marlene (9)
486336,Lamartine Babo
4256506,Jorge Coutinho
3452447,Luiz Fernando Borges Da Fonseca
4256505,Chico Brahmma
305301,Maucha Adnet
424127,Cris Delanno
2644591,Sueli Faria
2361414,Five Tracks
4013407,Cecília Assef
878619,Gabriel O'Meara
4165193,José Doné
4586428,Maurílio Santos
878614,Escurinho
2887183,Daniel Cheese
4013408,J. Cunha
1893753,Sérgio Malta
392288,Mike Ribas
627138,Rogério Duarte
4476529,Pierre Kolmann E Seu Conjunto
702210,Marcelo Camelo
4416069,Lucio Rangel
3721763,Grupo Sambario
336605,Marisa Monte
1978915,Derek Solomons
1609339,Jorge Vercillo
732875,Antenor Marques Filho
395303,Simone Caymmi
336607,Cazuza
1759681,Carlos Eduardo Gonçalves
962893,Alexandre Malheiros
962890,Oswaldo Cadaxo
277713,Robin Geoffrey Cable
650384,Jeff De Araujo
609244,Cida
642314,Pedro Dos Santos
2119992,Antonio Henrique Nitzsche
395304,Ana Lontra Jobim
333241,Pedro Sorongo
2760179,Renato Alscher
2760176,Gui Paganini
2760177,Jhonson Almeida
2060166,Manoel Araújo
2760175,Fernanda David
1872982,Barney (17)
2760173,Antonio Henrique Seixas
3650830,Valsa
52489,Mats Björklund
1536941,Flavio Senna
1536940,Mauro Moraes
1536942,Esveraldo Ferreira
400751,Luiz Bueno
2284543,Joaquim Silva
1835879,Brent Rollins
344400,Luis Quine
3676464,Maurício Badé
4614141,Capitão Antônio
342658,Bebeto
1501402,Clementina De Jesus
2076925,Alberto Rosenblit
701135,Nilton Delfino Marçal
2798802,Yukio (3)
27991,Antonio Carlos Jobim
3548193,Ted Settle
427147,Robson Nonato
3548194,James Roderick
4456468,Borginho
4456469,Noel (35)
2946901,Perez Dworecki
2946900,Carlos Alberto De Alcântara Pereira
4456465,Ananias
2946905,Joel Tavares
3635642,Oscar Ramos (3)
427164,Ivanzinho
3742331,Glauco Solter
346199,Adriano Trindade
346198,Pretinho Da Serrinha
3668178,Rinoceronte Produções
884473,Wilson Miranda
884472,Antonio Cicero
346191,Bocato
3668177,Michele Borges
346197,Azeitona
1793360,Ricardo Leite
2851417,Hugo Santos (3)
265139,Luciano Oliveira
4394205,Alberto Barreras
4394204,Juarez Penna
708633,Sergio Melo
1886299,Ana Leuzinger
2658054,Darío
470663,Charlus De La Salle
3764518,Evandro Ambrozi
906234,Peter Kelly (2)
906236,Gary Honor
906237,Ned Davies
906230,Steve Bullivant
906231,Ian Fisher (3)
906232,Greg Hughes
906233,Michelle Fragar
3116227,Paulo Garcez
1918316,Pacifico Mascarenhas
1052921,Raul Mascerenhas
392287,Alfredo Radoszynski
3682660,Chico Do Zuca
3682661,Nonato Araujo
3682662,Leo Paracchi
3682664,Walter (40)
3682665,Vavá (2)
3682666,Piu-Piu (2)
876792,Marcelo Rezende
388819,Jadir De Castro
393408,Tom E Dito
1176886,Custódio Mesquita
1911309,Jorge Mario Da Silva
471424,Thalma De Freitas
3132952,Lívio Campos
4575480,Urano (3)
4575481,Sapia
4425574,Nilcéia Figueiredo
4425575,Maria Cecília Motta
4415979,Flamengo (3)
1970825,DJ Tudo
2392761,Jorge Rezende
41583,David
4458872,Wanderson Lopez
3668153,Renata Stavalle
1439609,Oberdan Oliveira
986540,Paulo Soledade
3388250,Magro Waghabi
3388251,Halley Elemarion
2736238,Pedro Oswaldo Cruz
1675292,Celson Fonseca
339187,Val Valentin
2154888,Carlinhos Magno Portela
4620218,Josiel Rufino
2091997,Adelino Moreira
443440,Jade Pereira
1930998,Chuck Briefer
1973938,Marcelo Cabral
2329160,Jayro A. Rodrigues
2500018,Camera Press
531717,Luca Salvia
1696533,Liebert
531710,Jacaré
2294148,Bob Gueiros
3388633,Luís Garrido
1389749,Claudio Cartier
2948043,Marcio Antonucci
2154881,Dalmo Medeiros
15441,Tamba Trio
916225,Hamilton
681292,Nico Assumpção
862262,JR Tostoi
839010,Ricardo Kanji
1303763,Gilberto De Olaria
1303762,A Máfia
797214,Pestana
896172,Alceu De Almeida Reis
3787707,Milton Mori
797213,Otacilio
896177,Carlos Eduardo Hack
1303764,Nelsino
752772,Aline Cabral
896178,Arlindo Penteado
452899,Cacá Malaquias
83763,Caetano Veloso
2521812,Otto Stupakoff
3758878,Fábio Motta
83762,Leila Pinheiro
4246861,Sandra Bernard
208878,Negro Rico
318943,Moraes Moreira
83765,Timbalada
355730,Erasmo Carlos
852238,Maurício Tapajós
318944,Homero Ferreira
83725,Meirelles E Os Copa 5
83724,Gilberto Gil
2274547,Renato Menconi
3792529,Jorge Freitas
3792528,Stewe (3)
83723,Milton Nascimento
3766341,Tuco Freire
1763925,Herbert (5)
792930,Wadi Gebara Netto
3662898,Zé Luiz Soares
3441409,Luiz Sergio Pacce
3441408,Trancredo M. De Oliveira
4246860,Alberto Saliby
3573628,C. Mascarenhas
31340,Dino
1517971,Willy Paiva Moreira
3560945,Mario Ballina
3560946,L. Isaac
3560947,Salvador Aguerrios
730544,Robertinho De Recife
872375,Peninha
2679137,Toninho (4)
3717980,Verinha Cordovil
2691687,Ederaldo
2691686,Roberto Moura
44937,Hermes
2691684,Salatiel Coelho
1961921,Carlão De Souza
4474278,"Carlos ""Arú"" Miname"
2691689,Enio C. Castro
2691688,Carlosidônio
1911312,Phacio Palanca
1806389,Fred Ferreira
325845,George Horn
2157778,Gabriel Pinheiro
2443227,Anelis Assumpção
23477,Wando
23475,Djavan
588439,Herivelto Martins
374145,Fernando Merlino
3045254,Cícero Menezes
23479,Chico Science
23478,Toquinho
3045255,Ray Vianna
1168371,Miele (3)
2278301,Antonio Barroso
320291,Lennie Dale
309844,Danilo Caymmi
309845,Marcelo Salazar
4163658,Diana Sousa
856639,G.R.E.S. Portela
3668325,Luiz Antonio Gomes
11570,Ito
1136187,Leonel Pereda
983510,Paulo Russo
89144,Marcos Suzano
4503448,Adriana Lins
1136189,Astor Silva
1486265,Alex Braga
481062,Nei Lopes
261931,Chris Mercer
2123030,Carlos Magno Portela
3577652,Marco Aurélio Oliveira
3577653,Paloma Valls
1690371,Bebel
3764505,Lumen Design
3497081,Milton José
3052110,Caçulinha
2032279,Nilton Rodrigues
289424,Akira Terazaki
1215914,Claudio Coev
1215915,José Briamonte
1215916,Edgardo Alberto Rapetti
3354821,Sebastião Lopes
707158,Walmir De Almeida Gil
707159,Tenisson Rufino De Caldas
3089644,João Carlos Coutinho
707155,Antonio Feliz Ferrer
141337,Candeia
3492157,Aquilino S. Filho
2586094,Ubaldo Sciangula Mangione
3045223,Gordo (12)
464352,Basia Trzetrzelewska
3045226,David Glat
3045225,Augusto Conceição
3045224,Paulo Ricardo (2)
3045228,Marcelão (2)
611954,J. Lima
27140,Célia Vaz
165619,Mark Reilly
104275,Egon
4569821,Josué Ramos
329915,Oscar Valdés
215599,Os Originais Do Samba
1339607,Silvio (6)
305375,Mike Lang
56042,Waltel Branco
3747,Walter Wanderley
2644580,Marcello Gonçalves
1957822,Haroldo Mauro Jr.
4450338,Miguel Caló E Sua Orquestra
744778,Edu Szajnbrum
3977377,Os Sambistas Do Asfalto
868121,Pirulito
706756,Jadir Florindo
1261957,Cilene Affonso
3016355,Thiago Cury
868124,Marcos Silva (2)
1019772,Cláudio
2901684,Romeu
36230,Barbara
245813,Marcio Lott
245816,Fabiola
245817,Emilio Santiago
281847,Ilê Aiyê
392293,Cacho Gómez
392292,Alfredo Remus
4201696,J. C. Mello Menezes
905362,Adherbal Moreira
905361,Aurino
905360,Pedro Luiz De Assis
1322718,José Silva
1604530,Maestro Gaya
1948489,Adilson Victor
3567298,Oficina Audio E Vídeo SP
2332305,Caito Marcondes
3485753,Graça
395202,Jose Roberto
4061901,Azevedo (2)
3793214,Ataulfo Alves Jr.
2979131,DJ MixXxuruca
260882,Manoel Barenbein
333237,Jorginho
333235,Mazzola
95541,Tomaso Albinoni
473274,Ricardo Garcia
1483094,André Becker
477770,Hillsong
477771,Darlene Zschech
3563167,Eduardo Menezes
371764,Nick Woodland
3544197,Airton Lima
3563168,Diogo Montalvão
3786988,Barba (4)
1605751,Augusto Boal
2327347,Paulo Lorgus
3681870,Paulo De Deus
3681871,DJ M. Drawmer
17751,Seu Jorge
3742327,Fred Teixeira (2)
683676,Zé Dantas
1976877,Anderson Quevedo
683674,Silvio Cesar
399044,Pique Riverte
2575205,Jonas Silva
1266716,Sérgio Chiavazzolli
2980778,Pedro Aragão
2980779,Mariana Bernardes
748100,Zé Carlos
3668320,Elisa Addor
346760,João Gilberto
3041215,Mário Jorge Bruno
176998,Humberto Gatica
1957824,Chico Adnet
906223,Sami-Pekka Lehtosaari
906222,Craig Gower
906221,Troy Carthew
906220,Trevor Beck
906227,Tanya Riches
484898,Jairo Gualberto
1485326,Micheline Cardoso
906224,David Moyse
2245602,Dean Northcott
946781,Pi (7)
906228,Woody Pierson
3682659,Marcos Ficarelli
3682658,Garrincha (3)
1022676,Alcir
1940380,Ektone
2273341,Jackson Paulino
478644,João Bosco
478643,Rosinha De Valença
1933970,Alberto Soluri
3544438,Paulo Malaguti
2964502,Fats Elpidio
1152104,Chico Roque
4013409,Conceição Boaventura
1152101,Só Pra Contrariar
524608,Ivan Carvalho
462193,Ben Powers Jr.
2302290,Nilton Ricardo
709045,Torquato Neto
168452,Milton Banana Trio
2083113,Kauê
1895526,Romário Menezes de Oliveira Jr
392289,"Enrique ""Zurdo"" Roizner"
4170378,Alaor Neves
2691474,Da Fé
2345121,Adson Santana
2345122,Milton De Mori
443439,Carlos Freitas
2691470,Therezinha
694985,Georgiana (2)
694986,Gilson Peranzzetta
2691473,João de Auquino
2699207,Rômulo Nascimento
3231761,Edson Souza
2699209,Jr. Gaiatto
3041017,Roberto Castro (4)
157480,Luis Bacalov
2961808,Terra Samba
83603,Gabriel
1225290,João Plinta
4605940,Cabral (3)
2880523,Edinizio Ribeiro
2880524,Mario Luiz T. De Carvalho
1192963,Alves
4243804,Carlos Codó
268995,Hélcio Milito
4583032,Jackson (45)
4583033,Else (4)
752769,Marcelo Calvário
752768,Léo Bernardo
974530,Rosa Maria
752761,Alex D'Wille
1007779,Nivaldo Ornelas
752763,Marcio Meirelles
752762,Simò
752765,Luce Nascimento
752764,Jurinha
752766,Patrícia Barbeitas
517566,Vincent De Bast
751490,Neguinho Do Samba
3019871,Luís Pacce
918344,Geraldo Jacques
2670303,Márcio (2)
97921,Raul De Souza
2942443,Décio Paiva
346579,Burnier & Cartier
83735,Quarteto Novo
3766337,Xico Guedes
3766339,Betão Caldas
3766338,Jarbas A. Barbosa Jr.
2972700,Luiza Borges
4620222,Anderson Rocha (2)
83738,Lo Borges
83739,Elza Soares
3269406,Cópia e sua Orquestra
3867849,Petrúcio Maia
1893192,Indioney Rodrigues
1791036,Osvaldo Nunes
1147016,Ernesto Gonsalves
1517960,Cido Bianchi
1517967,Orlando Silveira
1517964,Jorge Santos (2)
1517965,Quarteto Cido
3966001,Orquestra De Cordas Brasileiras
2081828,Amaro Moço
751128,Marco Aurélio
1957042,Mazinho Ventura
1012535,Luis Felipe
40424,Dominique Blanc-Francard
831597,A Fantástica Bateria
751120,Vânia Santos
2691690,Coelho Netto
2691691,Luis Tavares
3869864,G.R.E.S. Estácio De Sá
3869863,Rogerio Rossini
705550,Roberto Martins
2457500,Edgar Ferreira
4591316,Luisinho Vital
665589,Cidinho Teixeira
784943,Pedro Santos
3576623,Marcos E. S. Rufino
2410064,Fernando Gallo
2410065,João Alves Do Carmo
2410062,Paulo Nunes (2)
2410063,Amaury Rodrigues
2410061,Gumercindo Nogueira Da Silva
1543168,Peter Dauelsberg
383801,Danny Kopelson
2137361,Luiza Reis
2137360,Nilo Jorge
1894374,Rubens Sabino
789983,Jaime Alem
3198679,Sociedade Recreativa Bloco Carnavalesco Vai Se Quizer
3198678,Joāo Negrāo
961349,Rodrigo Araújo
697754,Zélia Duncan
289653,Robert Carranza
1715001,Inezita Barroso
132461,Moreno Veloso
3070170,Michelangelo Pagnano
894969,Benil Santos
2231718,Piau
89150,Vinicius Cantuária
89151,Dinho Nascimento
3986836,Ronaldo Goyannes
4477516,Orlando Campos De Souza
3833563,Grupo Talismã
4477513,José Dantas
4477512,Tequinho
1244959,Anthony Gorman
3149970,Elmo Barros
2007724,Tomek Miernowski
1538538,Sérgio Ricardo
1550759,Maria De Lurdes
3383216,Chico Dafé
632743,Helena De Lima
2345123,Flávio Augusto (2)
4341474,Zaccarias E Seu Conjunto de Boite
3786992,Caroline Lohmman
4539272,Roberto Do Monte
707143,Ivani Sabino
259194,Michel Esteban
340323,Olivia Hime
729527,Guio De Morais E Seu Conjunto
3786997,Claudio Menandro
3786996,Marcelino Moraes Filho
413670,Stephane San Juan
4226129,Rafael Moromizato
632984,Robertinho
786142,Riccardo Luppi
4443219,Manoel Poladian
551099,Wally Smith
861571,Don Lewis (2)
551094,S. Parrington
551095,Raymond Keenlyside
180382,Zer0
629803,Bonnie Amaro
1535774,Ivan Lisnik
2760178,João Mario Linhares
919591,Hamilton De Holanda
1945125,Mário Castro Neves & Samba S.A.
3756,Marcos Valle
1201079,Guiga Scott
683285,Zé Menezes
2184785,Otavio Argento
3867622,Alfredo (26)
3867621,Cacau (2)
3867620,Silvinho Torres
340639,Barry St. John
185702,Waldemar Falcão
806783,Dino (13)
4581224,Banda Kalifa
158368,Will Mowat
2239756,Martin Philbey
3898812,Aracy Ribeiro Valente
2417025,Maira Martucci Nakabayashi
2417024,Leonardo Martucci Nakabayashi
1429331,André Valadão
1429330,Helena Tannure
1429332,Nívea Soares
732306,GianCarlo
253379,Moacir Santos
759928,Manuel Gusmao
349087,Boca Livre
1945127,José Pereira Guimarães
257872,Paulo Ferreira
371826,Ann Odell
349088,Viva Voz
304615,Chiara Civello
333225,Sidinho
93909,Richard Hewson
4226128,Alessandro Manso
3351778,Neném Da Cuica
75676,Enrico De Paoli
427366,Olivier De Bosson
4027977,Paulo Sodré
736209,Rossini Pinto
3294259,Deraldo Oliveira
4232251,Hilton Junior
4232250,Ronaldo Reis
3563170,Rubens Lisboa
2313204,Ana Maria Bahiana
4463178,Luiz Claudio (5)
2313203,Francisco Rodrigues
389537,Elise Canepa
3721768,"Walter ""Isgueri-Gueri"""
3939932,Manoel Da Conceição
1805452,Milton Araújo
727289,Dengue
2338601,Carlinhos PQD
2338600,Ademir Marques Da Silva
2338603,Dutra
2338602,Gabriel Pessanha
3865681,Zilmar De Araujo
499284,Galina Solodchin
727285,Jorge Du Peixe
3668156,Zoy Anastassakis
3668157,Henrique Vilhena
3668155,Tiago Schardong
3668152,Rubinho Jacobina
461953,Robert Soares
3931435,Gil Prates
2760174,José Arimatea
1294321,Alexandre (5)
521539,Franklin Da Flauta
981119,Renato Viola
708650,Vicente Paiva
708654,José Alves Da Silva
1184318,Edmilson Braga
708658,Giancarlo Pareschi
1049346,Guello
1187922,Elias (12)
4085939,Marquinhos (6)
1948496,Genaro (2)
1948497,Big Fields
748116,Paulão 7 Cordas
748111,Trambique
3437708,Silvia Machete
320290,Luiz Eça
2980740,João Moreira (5)
3231751,Alessandra Veiga
2120464,Oscar Paolillo
2344888,Chiquinho do Acordeom
3377267,Francisco Carioca
437411,Marty Sampson
3016357,Agua Forte
3016356,Filipe Tichauer
432423,Norbert Daum
3978057,Lúcio Nascimento (2)
2504417,Francesco Celano
2273335,André Neiva
1096660,Márcio Hulk
853903,Richard Hazard
4246859,Bryan Vianna
1965410,Didiê Cunha
547170,Chuck Stewart
280219,Berna Ceppas
1913957,Celso Murilo E Seu Conjunto
1913955,Celso Murilo
1485869,Mozart (7)
1913958,Côro De Zizinho
920953,Betty Missiego
18434,Lula
1501401,Zezé Mota
2294586,GPS Direção Gráfica
2345115,Zé Paulo Becker
2345114,Célio Barros
2345117,Carmo Dos Santos
2345116,Fernando Pereira (3)
2345111,Gigante Brasil
2345113,Carlos César De Araújo Motta
2345112,Odésio Jericó
1007777,Picolé
2345119,Ivan César
2345118,Valdir Ferreira
3247679,Ivanildo José Da Silva
2349819,Laércio De Freitas
426540,Paul Zinman
1561358,Roberto Côrte-Real
2935160,Totonho
1007175,Edson Lobo
1039136,Mussum
351054,G.R.E.S. Mocidade Independente De Padre Miguel
3786991,Osiel Fonseca
3786990,Marcelo Pereira (2)
3786993,Cesar Matoso
319921,Márcia
3786995,Evaldo Ribeiro
3786994,José Felipe Faneli
1914099,Bernardo Müller
704174,Andy Mills
1914094,Alex Baresi
1914093,Fabiana Pichulate
1914092,Juan González (2)
919593,Marcos Portinari
919592,Vadico
82811,James Farber
280077,Abraham Laboriel
4349329,Sergio Neves De Pinna
2096319,Ze Cruz
2594142,J.C. Botezelli
1176572,Marcelo Pretto
3869109,Batacotô
752754,Eduardo Costa
752755,Kanú
40234,Carlos Bess
752757,Ciro Cruz
2843819,Célia (2)
752752,Kika Tristão
752753,Marrom
529221,Dominguinhos
529223,Evinha
752758,Eliane Tassis
1168779,Rodrigo Campello
279275,Bobby Rosengarden
751113,Mauro Duarte
1748288,Gaucho (3)
751481,Jel (4)
751480,Luizinho
751483,Tinho Santana
751482,Chacalzinho
751485,Elpídio
751484,Véo
751487,Elcio Alvarez Filho
751486,Tonho Matéria
751489,Ovo (5)
751488,Coroa
663497,Ruy Guerra
2727780,Angela Castro Mucci
2727781,Jotinha
356484,Jorge Helder
1039178,Conjunto Explosao Do Samba
1543170,João Luiz Maciel
1543171,Aecio Flavio
1851420,Toninho Paladino
570021,Sidinho Moreira
2898767,Edson (7)
691480,Luiz Carlos Batera
919590,Daniel Musy
1669768,Paulo Sergio (2)
4414720,Mário Luís Thompson
822247,Raul Mascarenhas
249217,Roland Kluger
4620220,Henrique Suzuki
126711,Vidal
822249,Serginho Do Trombone
2594182,Dorvalino Pereira Dos Santos
4456467,Miranda (27)
1777297,Tiazinha
700894,Odete Amaral
3666642,Kojac Chorale
3666643,João Zim
3666644,João Van Da Luz
3666645,Don Charles (5)
3666646,Gusta Von
3666647,Dadi Flavi
1226134,Arnaldo Brandão
3758869,Mário Rosito
4482798,Goebel Weyne
2178982,Luciano Figueiredo
2926035,Manuel Berembeim
3114939,Leo Caldi
1426924,Lúcio Varela
1105682,Flávio Venturini
416389,Rubens
725662,Esdras De Souza Pereira
3788359,Biba (6)
725661,Lupicínio Rodrigues
725666,Hermínio Bello De Carvalho
3244638,Nestor Vitirutti
725664,Noel Rosa
1394028,Dona Inah
111566,DJ Marlboro
1394021,Rubinho Lima
1394022,Bina Coquet
1493614,Avan Samba
1394024,Celso De Almeida
1394025,Memeu Cabral
1394026,Bina & Ehud
1394027,Carneiro Sândalo
1787634,Manoel Moraes
938331,Duduka Da Fonseca
2852653,Thiago França
2644573,Rodrigo Lessa
346192,Sidão Santos
3247675,João Mossoró
1059908,Irazy Serra
284994,Ronaldo Boscoli
49085,Matt Bianco
1493296,Paulão
284990,Fernando Lobo
1059901,Gracia (2)
3247677,Regina Caffaro
4478873,Franklin (19)
580761,Paul Scriver (2)
1059906,J. Palmeira
1157984,Dori Caymmi (2)
3668174,Diogo P. Gonçalves
1618911,Milton Botelho
1170028,Deraldo
3167042,Cipó And His Authentic Rhythm Group
1724640,Fernando Adour
170270,Meirelles
3668176,Gustavo Deslandes
3684172,María Eugenia (2)
2059203,Julio Medaglia
524594,Itibere Zwarg
1550764,Luis Alberto Ferri
1550761,Aeluah
1550760,Carolina Andrade
1926589,Yara Rossi
4620212,Vadinho
182738,John Legend
2430071,Andréa Alves
691665,Heitor Villa-Lobos
2238621,Martin Pudenz
696728,Eduardo Magalhaes De Carvalho
696729,Joãõ Roberto Vandaluz
3040329,Maria Cambraia Fernandes
3040328,Antônio Norato
3040322,Orquestra Tabajara
130782,Tim Maia
3773285,Alice Rodrigues
1197893,Luiz Paulo
1927729,Mario Bag
551087,John Kirkland
286919,Erich Bulling
1146064,Arthur Moura
1146067,Marcelo Martins (2)
1146066,Laudz Beatz
1032015,Jamelão
56660,João Parahyba
4569282,Marcela Lobo
2264667,Hans Herzheim
684918,David Nasser
988743,Paul Durand Et Son Orchestre
3182970,Piera Paula
409345,Luis Antonio
1341505,Nestor Campos
334485,Filo Machado
413800,Paulo Diniz
401363,Eduardo Muszkat
413806,Hyldon
4394201,Kleber Matos
1659163,Vinicius França
3676071,William Luna
4394200,Sandra Grego
755728,Waldir Azevedo
3668175,Dani Dacorso
346195,Nenê Brown
4394203,Gato Assanhado
1903011,Jair (2)
4394202,Sidney Herszage
4203694,Hélio Brandão (2)
4243828,Bio (12)
539244,Euzébio Cardoso
1053042,Bijou (7)
1053040,Luiz Antonio Ferreira
1053041,Zenio De Alencar
1604776,Nolan Leve
1604777,Héctor Lagna Fietta
550629,José Roberto Bertrami
759937,Geraldo Brandao
400763,Cassiano
16823,Suba
2163250,Roberto Ruiz
3191185,A. Lopes Machado
4557817,Jotan
1615097,Cleudir Borges
